Cylinders,Ratio,Throttle,Torque,Fuel Usage
300,14,1,61,0
300,14,2,123,0
300,14,3,184,0
300,14,4,246,0.001
300,14,5,307,0.002
300,14,6,369,0.004
300,14,7,430,0.006
300,14,8,492,0.009
300,14,9,553,0.013
300,14,10,615,0.018
300,14,11,676,0.023
300,14,12,738,0.03
300,14,13,799,0.039
300,14,14,861,0.048
300,14,15,923,0.059
300,14,16,984,0.072
300,14,17,1046,0.086
300,14,18,1107,0.102
300,14,19,1169,0.12
300,14,20,1230,0.14
300,14,21,1292,0.163
300,14,22,1353,0.187
300,14,23,1415,0.214
300,14,24,1476,0.243
300,14,25,1538,0.274
300,14,26,1599,0.308
300,14,27,1661,0.345
300,14,28,1722,0.385
300,14,29,1784,0.428
300,14,30,1846,0.474
300,14,31,1907,0.523
300,14,32,1969,0.575
300,14,33,2030,0.63
300,14,34,2092,0.69
300,14,35,2153,0.752
300,14,36,2215,0.819
300,14,37,2276,0.889
300,14,38,2338,0.963
300,14,39,2399,1.041
300,14,40,2461,1.123
300,14,41,2522,1.209
300,14,42,2584,1.3
300,14,43,2645,1.395
300,14,44,2707,1.494
300,14,45,2769,1.599
300,14,46,2830,1.707
300,14,47,2892,1.821
300,14,48,2953,1.94
300,14,49,3015,2.064
300,14,50,3076,2.193
300,14,51,3138,2.327
300,14,52,3199,2.466
300,14,53,3261,2.611
300,14,54,3322,2.762
300,14,55,3384,2.918
300,14,56,3445,3.08
300,14,57,3507,3.248
300,14,58,3568,3.422
300,14,59,3630,3.602
300,14,60,3692,3.789
300,14,61,3753,3.981
300,14,62,3815,4.18
300,14,63,3876,4.386
300,14,64,3938,4.598
300,14,65,3999,4.817
300,14,66,4061,5.043
300,14,67,4122,5.275
300,14,68,4184,5.515
300,14,69,4245,5.762
300,14,70,4307,6.016
300,14,71,4368,6.278
300,14,72,4430,6.547
300,14,73,4491,6.823
300,14,74,4553,7.107
300,14,75,4615,7.399
300,14,76,4676,7.699
300,14,77,4738,8.007
300,14,78,4799,8.323
300,14,79,4861,8.648
300,14,80,4922,8.98
300,14,81,4984,9.321
300,14,82,5045,9.67
300,14,83,5107,10.029
300,14,84,5168,10.395
300,14,85,5230,10.771
300,14,86,5291,11.156
300,14,87,5353,11.549
300,14,88,5414,11.952
300,14,89,5476,12.364
300,14,90,5538,12.786
300,14,91,5599,13.217
300,14,92,5661,13.657
300,14,93,5722,14.107
300,14,94,5784,14.567
300,14,95,5845,15.037
300,14,96,5907,15.517
300,14,97,5968,16.007
300,14,98,6030,16.507
300,14,99,6091,17.018
300,14,100,6153,17.538